"Name","Directory","SizeMB","CreationTime","LastWriteTime","LastAccessTime","Attributes"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\h2-4.2.0-pyhd8ed1ab_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\hpack-4.1.0-pyhd8ed1ab_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\conda-package-handling-2.4.0-pyh7900ff3_2\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\ca-certificates-2025.4.26-h4c7d964_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\bzip2-1.0.8-h2466b09_7\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\certifi-2025.4.26-pyhd8ed1ab_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\cffi-1.17.1-py312h4389bb4_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\colorama-0.4.6-pyhd8ed1ab_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\archspec-0.2.5-pyhd8ed1ab_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\conda-libmamba-solver-25.3.0-pyhd8ed1ab_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\boltons-24.0.0-pyhd8ed1ab_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\conda-25.3.0-py312h2e8e312_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\brotli-python-1.1.0-py312h275cf98_2\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\jsonpointer-3.0.0-py312h2e8e312_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\lz4-c-1.10.0-h2466b09_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\lzo-2.10-hcfcfb64_1001\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\libzlib-1.3.1-h2466b09_2\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\libssh2-1.11.1-h9aa295b_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\libxml2-2.13.8-h442d1da_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\nlohmann_json-3.11.3-he0c23c2_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
