"Name","Directory","Length","LastWriteTime","LastAccessTime","Attributes","Owner"
"INetCache",,,"2025-09-28 10:57:51 PM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"UsrClass.dat{1d8193fd-816b-11f0-a267-28b2bd7d5172}.TxR.2.regtrans-ms","C:\Users\User\AppData\Local\Microsoft\Windows","1048576","2025-09-28 10:20:30 PM","2025-09-28 10:20:30 PM","Hidden, System, Archive","NT AUTHORITY\SYSTEM"
"UsrClass.dat{1d8193fd-816b-11f0-a267-28b2bd7d5172}.TxR.1.regtrans-ms","C:\Users\User\AppData\Local\Microsoft\Windows","1048576","2025-09-28 10:20:30 PM","2025-09-28 10:20:30 PM","Hidden, System, Archive","NT AUTHORITY\SYSTEM"
"NTUSER.DAT{53b39e87-18c4-11ea-a811-000d3aa4692b}.TxR.2.regtrans-ms","C:\Users\User","1048576","2025-09-28 10:20:30 PM","2025-09-28 10:20:30 PM","Hidden, System, Archive","NT AUTHORITY\SYSTEM"
"NTUSER.DAT{53b39e87-18c4-11ea-a811-000d3aa4692b}.TxR.1.regtrans-ms","C:\Users\User","1048576","2025-09-28 10:20:30 PM","2025-09-28 10:20:30 PM","Hidden, System, Archive","NT AUTHORITY\SYSTEM"
"POF.dat.LOG2","C:\Users\User\AppData\Local\Packages\Microsoft.LockApp_cw5n1h2txyewy\AC\GEH","8192","2025-09-28 9:32:07 PM","2025-09-28 9:32:07 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"POF.dat.LOG1","C:\Users\User\AppData\Local\Packages\Microsoft.LockApp_cw5n1h2txyewy\AC\GEH","8192","2025-09-28 9:32:07 PM","2025-09-28 9:32:07 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"NTUSER.DAT","C:\Users\User","4718592","2025-09-28 2:57:11 AM","2025-09-28 2:57:11 AM","Hidden, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"UsrClass.dat","C:\Users\User\AppData\Local\Microsoft\Windows","5242880","2025-09-28 2:57:11 AM","2025-09-28 2:57:11 AM","Hidden, Archive","DESKTOP-RVD6TK8\User"
"probe.autosave","C:\Users\User\AppData\Local\Notepad","0","2025-09-28 2:57:01 AM","2025-09-28 2:57:01 AM","Hidden, Archive","DESKTOP-RVD6TK8\User"
"INetCache",,,"2025-09-28 2:38:23 AM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"0UPGSQMU",,,"2025-09-28 2:22:53 AM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"N4N91QD1",,,"2025-09-28 2:16:31 AM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"7P0TGMD0",,,"2025-09-28 2:16:30 AM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"EQWY9JZK",,,"2025-09-28 2:16:28 AM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetCookies",,,"2025-09-28 2:16:27 AM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\INetCache\IE","0","2025-09-27 8:42:08 PM","2025-09-27 8:42:08 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetHistory",,,"2025-09-27 8:34:32 AM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetCache",,,"2025-09-27 8:34:32 AM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetCookies",,,"2025-09-27 8:34:32 AM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetCache",,,"2025-09-27 8:34:32 AM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetHistory",,,"2025-09-27 8:34:32 AM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetCookies",,,"2025-09-27 8:34:32 AM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"I6HK1HZX",,,"2025-09-22 7:37:14 PM","2025-10-03 5:44:49 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"ZDV0YTLA",,,"2025-09-22 7:37:14 PM","2025-10-03 5:44:49 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"APOHABI8",,,"2025-09-22 7:37:14 PM","2025-10-03 5:44:49 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"I33LVZCZ",,,"2025-09-22 7:37:14 PM","2025-10-03 5:44:49 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"DOMStore",,,"2025-09-22 7:37:14 PM","2025-10-03 5:44:49 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\LocalLow\Microsoft\Internet Explorer\DOMStore","0","2025-09-22 7:37:14 PM","2025-09-22 7:37:14 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\History\Low\History.IE5","0","2025-09-22 7:37:13 PM","2025-09-22 7:37:13 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"History.IE5",,,"2025-09-22 7:37:13 PM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\LocalLow\Microsoft\Windows\AppCache\5DJKFUP3","0","2025-09-22 7:37:13 PM","2025-09-22 7:37:13 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"5DJKFUP3",,,"2025-09-22 7:37:13 PM","2025-10-03 5:44:49 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\LocalLow\Microsoft\Windows\AppCache","0","2025-09-22 7:37:13 PM","2025-09-22 7:37:13 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"AppCache",,,"2025-09-22 7:37:13 PM","2025-10-03 5:44:49 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\LocalLow\Microsoft\Internet Explorer\EmieUserList","0","2025-09-22 7:37:13 PM","2025-09-22 7:37:13 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"EmieUserList",,,"2025-09-22 7:37:13 PM","2025-10-03 5:44:49 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\LocalLow\Microsoft\Internet Explorer\EmieSiteList","0","2025-09-22 7:37:13 PM","2025-09-22 7:37:13 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"EmieSiteList",,,"2025-09-22 7:37:13 PM","2025-10-03 5:44:49 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\IECompatUaCache\Low","0","2025-09-22 7:37:13 PM","2025-09-22 7:37:13 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"Low",,,"2025-09-22 7:37:13 PM","2025-10-03 5:44:42 AM","Hidden, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\IECompatCache\Low","0","2025-09-22 7:37:13 PM","2025-09-22 7:37:13 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"Low",,,"2025-09-22 7:37:13 PM","2025-10-03 5:44:42 AM","Hidden, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Microsoft\Internet Explorer\EmieUserList","0","2025-09-22 7:34:26 PM","2025-09-22 7:34:26 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"EmieUserList",,,"2025-09-22 7:34:26 PM","2025-10-03 5:44:39 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Microsoft\Internet Explorer\EmieSiteList","0","2025-09-22 7:34:26 PM","2025-09-22 7:34:26 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"EmieSiteList",,,"2025-09-22 7:34:26 PM","2025-10-03 5:44:39 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
